iter,loss,event_time,event_times
186,0.010664975453460615,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
187,0.01066497545345946,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
188,0.010664975453430833,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
189,0.010664975453401882,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
190,0.01066497545339492,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
191,0.010664975453408672,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
192,0.010664975453423844,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
193,0.010664975453423544,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
194,0.010664975453407837,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
195,0.01066497545339081,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
196,0.010664975453385551,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
197,0.010664975453392516,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
198,0.010664975453401374,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
199,0.010664975453402387,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
200,0.01066497545339502,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
201,0.010664975453386622,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
202,0.01066497545338435,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
203,0.010664975453388662,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
204,0.010664975453393994,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
205,0.010664975453394886,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
206,0.010664975453390972,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
207,0.010664975453386344,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
208,0.010664975453384963,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
209,0.010664975453387024,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
210,0.010664975453389465,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
211,0.010664975453389437,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
212,0.010664975453386915,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
213,0.01066497545338423,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
214,0.010664975453383489,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
215,0.010664975453384667,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
216,0.010664975453385994,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
217,0.01066497545338596,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
218,0.01066497545338467,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
219,0.010664975453383465,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
220,0.010664975453383378,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
221,0.01066497545338422,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
222,0.010664975453384969,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
223,0.010664975453384871,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
224,0.010664975453384115,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
225,0.010664975453383482,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
226,0.010664975453383473,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
227,0.010664975453383897,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
228,0.01066497545338417,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
229,0.010664975453383966,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
230,0.010664975453383487,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
231,0.010664975453383173,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
232,0.010664975453383234,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
233,0.010664975453383485,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
234,0.010664975453383609,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
235,0.010664975453383472,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
236,0.010664975453383232,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
237,0.010664975453383132,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
238,0.010664975453383227,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
239,0.010664975453383374,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
240,0.010664975453383413,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
241,0.010664975453383307,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
242,0.010664975453383184,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
243,0.01066497545338315,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
244,0.010664975453383215,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
245,0.010664975453383277,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
246,0.010664975453383262,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
247,0.010664975453383184,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
